Source,Mission,year,month,location,country,latitude,longitude,No.troops,RPF,RPF_No,RES,RES_No,FP,FP_No,No.TCC,name.of.TCC1,No.troops.per.TCC1,name.of.TCC2,No.troops.per.TCC2,name.of.TCC3,No.troops.per.TCC3,name.of.TCC4,No.troops.per.TCC4,name.of.TCC5,No.troops.per.TCC5,name.of.TCC6,No.troops.per.TCC6,name.of.TCC7,No.troops.per.TCC7,name.of.TCC8,No.troops.per.TCC8,name.of.TCC9,No.troops.per.TCC9,name.of.TCC10,No.troops.per.TCC10,name.of.TCC11,No.troops.per.TCC11,name.of.TCC12,No.troops.per.TCC12,name.of.TCC13,No.troops.per.TCC13,name.of.TCC14,No.troops.per.TCC14,UNPOL..dummy.,UNMO..dummy.,HQ,LO,comments,cow_code,gwno,name,TCC1,TCC2,TCC3,TCC4,TCC5,TCC6,TCC7,TCC8,TCC9,TCC10,TCC11,TCC12,TCC13,TCC14,ADM1_id,ADM1_name,ADM2_id,ADM2_name,PRIOID
Map no. 4249 Rev. 08,UNMIS,2007,8,Yambio,Sudan,4.572131,28.395488,300,NA,NA,0,0,0,0,1,Bangladesh,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618,West Equatoria,210043,Yambio,136497
Map no. 4249 Rev. 08,UNMIS,2007,8,Yei,Sudan,4.095035,30.67792,150,NA,NA,0,0,0,0,1,Bangladesh,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,Central Equatoria,209997,Nahr Yei,135782
Map no. 4249 Rev. 09,UNMIS,2007,10,Adis Abeba,Ethiopia,9.024325,38.749226,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,,530,530,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2837,Addis Ababa,48210,Addis Abeba,142998
Map no. 4249 Rev. 09,UNMIS,2007,10,Abyei,Sudan,9.595247,28.434934,150,NA,NA,0,0,0,0,1,Zambia,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,,625,625,Sudan,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,South Kordufan,218873,Abyei,143697
Map no. 4249 Rev. 09,UNMIS,2007,10,Al Fasher,Sudan,13.633333,25.35,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,"HQ 3 refers to ""AMIS headquarter"", not the UNMIS HQ",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,North Darfur,218763,Al Fasher,149451
Map no. 4249 Rev. 09,UNMIS,2007,10,Aweil,Sudan,8.768157,27.40019,150,NA,NA,0,0,0,0,1,Kenya,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,North Bahr-al-Ghazal,210017,Aweil,142255
Map no. 4249 Rev. 09,UNMIS,2007,10,Bentiu,Sudan,9.233333,29.8333333,150,NA,NA,0,0,0,0,1,India,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,Unity,210023,Rabkona,142980
Map no. 4249 Rev. 09,UNMIS,2007,10,Bor,Sudan,6.205931,31.556326,35,NA,NA,0,0,1,35,unknown,unknown,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,"""FP"" force protection-platoon, TCC unknown",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621,Jungoli,210006,Bor,138664
Map no. 4249 Rev. 09,UNMIS,2007,10,Dilling,Sudan,12.05,29.65,35,NA,NA,0,0,1,35,unknown,unknown,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,"""FP"" force protection-platoon, TCC unknown",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,South Kordufan,218862,Dilling,147300
Map no. 4249 Rev. 09,UNMIS,2007,10,Ed Damazin,Sudan,11.7891,34.3592,1250,NA,NA,0,0,0,0,1,Pakistan,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,,625,625,Sudan,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,Blue Nile,218721,Ad Damazin,146589
Map no. 4249 Rev. 09,UNMIS,2007,10,El Obeid,Sudan,13.183333,30.216666,150,NA,NA,0,0,0,0,unknown,unknown,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"""other"" troop type refers to LOG company, unknown TCC",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721,North Kordufan,218779,Bara,148741
Map no. 4249 Rev. 09,UNMIS,2007,10,Juba,Sudan,4.845972,31.601203,1700,NA,NA,1,150,0,0,3,Bangladesh,1400,India,150,Russia,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,"Reserve = FRB 1 company (TCC India), troop type other refers to 1 AMET company (Bangladesh),",625,625,Sudan,771,750,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,Central Equatoria,209995,Bahr al Jabal,136504
Map no. 4249 Rev. 09,UNMIS,2007,10,Julud,Sudan,11.974816,29.340317,35,NA,NA,0,0,1,35,unknown,unknown,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,"""FP"" force protection-platoon, TCC unknown",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,South Kordufan,218862,Dilling,146579
Map no. 4249 Rev. 09,UNMIS,2007,10,Kadugli,Sudan,11.016667,29.7166667,1400,NA,NA,1,650,0,0,2,Egypt,600,India,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,Reserve = FRB 1 batallion (TCC India),625,625,Sudan,651,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,South Kordufan,218865,Kadugli,145860
Map no. 4249 Rev. 09,UNMIS,2007,10,Kauda,Sudan,11.1,30.5166667,35,NA,NA,0,0,1,35,unknown,unknown,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,"""FP"" force protection-platoon, TCC unknown",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,South Kordufan,218864,Kadugli,145862
Map no. 4249 Rev. 09,UNMIS,2007,10,Khartoum,Sudan,15.588056,32.534167,650,NA,NA,0,0,0,0,1,Rwanda,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,,625,625,Sudan,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,Khartoum,218755,Khartoum,152346
Map no. 4249 Rev. 09,UNMIS,2007,10,Kurmuk,Sudan,10.55,34.283333,35,NA,NA,0,0,1,35,unknown,unknown,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0," ""FP"" force protection-platoon, TCC unknown",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2836,Benshangul-Gumaz,218722,Al Kurumik,145149
Map no. 4249 Rev. 09,UNMIS,2007,10,Malakal,Sudan,9.533424,31.660485,1100,NA,NA,0,0,0,0,3,India,800,Cambodia,150,Bangladesh,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,,625,625,Sudan,750,811,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,Upper Nile,210031,Tonga,143704
Map no. 4249 Rev. 09,UNMIS,2007,10,Maridi,Sudan,4.915839,29.47415,150,NA,NA,0,0,0,0,1,Bangladesh,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618,West Equatoria,210039,Meridi,136499
Map no. 4249 Rev. 09,UNMIS,2007,10,Melut,Sudan,10.441795,32.200806,150,NA,NA,0,0,0,0,1,India,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,Upper Nile,210027,Fashooda,144425
