Source,Mission,year,month,location,country,latitude,longitude,No.troops,RPF,RPF_No,RES,RES_No,FP,FP_No,No.TCC,name.of.TCC1,No.troops.per.TCC1,name.of.TCC2,No.troops.per.TCC2,name.of.TCC3,No.troops.per.TCC3,name.of.TCC4,No.troops.per.TCC4,name.of.TCC5,No.troops.per.TCC5,name.of.TCC6,No.troops.per.TCC6,name.of.TCC7,No.troops.per.TCC7,name.of.TCC8,No.troops.per.TCC8,name.of.TCC9,No.troops.per.TCC9,name.of.TCC10,No.troops.per.TCC10,name.of.TCC11,No.troops.per.TCC11,name.of.TCC12,No.troops.per.TCC12,name.of.TCC13,No.troops.per.TCC13,name.of.TCC14,No.troops.per.TCC14,UNPOL..dummy.,UNMO..dummy.,HQ,LO,comments,cow_code,gwno,name,TCC1,TCC2,TCC3,TCC4,TCC5,TCC6,TCC7,TCC8,TCC9,TCC10,TCC11,TCC12,TCC13,TCC14,ADM1_id,ADM1_name,ADM2_id,ADM2_name,PRIOID
Map no. 4309 ,BINUB,2007,3,Bujumbura,Burundi,-3.3822,29.3644,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,,516,516,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3348,Bujumbura Mairie,20147,Roherero,124979
Map no. 4309 Rev. 1,BINUB,2009,8,Bujumbura,Burundi,-3.3822,29.3644,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,,516,516,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3348,Bujumbura Mairie,20147,Roherero,124979
Map no. 4203 Rev. 2,MINUCI,2003,8,Abidjan,Ivory Coast,5.309657,-4.012656,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,MINUCI HQ; Also ECOWAS main HQ; France HQ,437,437,Cote D’Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3411,Lagunes,40389,Abidjan,137152
Map no. 4203 Rev. 3,MINUCI,2003,11,Abidjan,Ivory Coast,5.309657,-4.012656,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,MINUCI HQ; Also ECOWAS main HQ; France HQ; Fanci HQ,437,437,Cote D’Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3411,Lagunes,40389,Abidjan,137152
Map no. 4203 Rev. 4,MINUCI,2004,1,Abidjan,Ivory Coast,5.309657,-4.012656,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,MINUCI HQ; ECOWAS main HQ; France HQ; Fanci HQ,437,437,Cote D’Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3411,Lagunes,40389,Abidjan,137152
Map no. 4060 ,MINURCA,1998,6,Bangui,Central African Republic,4.383333,18.566667,1385,NA,NA,0,0,0,0,9,France,150,Chad,150,Canada,35,Cote D'ivoire,300,Gabon,150,Burkina Faso,150,Senegal,150,Mali,150,Togo,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,,482,482,Central African Republic,220,483,20,437,481,439,433,432,461,NA,NA,NA,NA,NA,6387,Bangui,36129,Bangui,135758
Map no. 4060 Rev. 2 ,MINURCA,1999,4,Bangui,Central African Republic,4.383333,18.566667,1685,NA,NA,0,0,0,0,9,Egypt,450,Canada,35,Togo,150,Chad,150,Cote D'ivoire,300,Gabon,150,Burkina Faso,150,Senegal,150,Mali,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,"Log, Mech. Cavalry",482,482,Central African Republic,651,20,461,483,437,481,439,433,432,NA,NA,NA,NA,NA,6387,Bangui,36129,Bangui,135758
Map no. 4060 Rev. 3,MINURCA,1999,6,Bangui,Central African Republic,4.383333,18.566667,1535,NA,NA,0,0,0,0,8,Egypt,450,Canada,35,Togo,150,Chad,150,Cote D'ivoire,300,Gabon,150,Burkina Faso,150,Senegal,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,"Log, Mech. Cavalry",482,482,Central African Republic,651,20,461,483,437,481,439,433,NA,NA,NA,NA,NA,NA,6387,Bangui,36129,Bangui,135758
Map no. 4060 Rev. 4,MINURCA,1999,8,Bangui,Central African Republic,4.383333,18.566667,1235,NA,NA,0,0,0,0,9,Egypt,300,Canada,35,Togo,150,Chad,150,Cote D'ivoire,150,Gabon,150,Burkina Faso,150,Senegal,150,France,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,"Log, Mech. Cavalry",482,482,Central African Republic,651,20,461,483,437,481,439,433,220,NA,NA,NA,NA,NA,6387,Bangui,36129,Bangui,135758
Map no. 4118 Rev. 1,MINURCA,2000,1,Bangui,Central African Republic,4.383333,18.566667,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,,482,482,Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6387,Bangui,36129,Bangui,135758
Map no. 4349 ,MINURCAT,2008,12,Birao,Central African Republic,10.284879,22.788184,650,NA,NA,0,0,0,0,1,unknown,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Country of batallion not specified,482,482,Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,Vakaga,36176,Birao,144406
Map no. 4349 ,MINURCAT,2008,12,Abeche,Chad,13.816667,20.816667,3685,NA,NA,0,0,0,0,unknown,unknown,3685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"Country of batallion, companies, and platoons not specified; one inf. Company is amored; other troop type - 'FHQ - Support (company), LOG (batallion), MV - Con (platoon)",483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36434,Ouara,149442
Map no. 4349 ,MINURCAT,2008,12,Bahai,Chad,15.55,22.91,150,NA,NA,0,0,0,0,unknown,unknown,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Country of company not specified,483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36523,KobÃ©,152326
Map no. 4349 ,MINURCAT,2008,12,Farchana,Chad,13.59744,21.81167,650,NA,NA,0,0,0,0,unknown,unknown,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Country of batallion not specified,483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36427,Assoungha,149444
Map no. 4349 ,MINURCAT,2008,12,Goz Beida,Chad,12.216667,21.4166667,650,NA,NA,0,0,0,0,unknown,unknown,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Country of batallion not specified,483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36463,Sila,147283
Map no. 4349 ,MINURCAT,2008,12,Guereda,Chad,14.516667,22.083333,150,NA,NA,0,0,0,0,unknown,unknown,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Country of company not specified,483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36515,Dar Tama,150885
Map no. 4349 ,MINURCAT,2008,12,Iriba,Chad,15.116667,22.25,650,NA,NA,0,0,0,0,unknown,unknown,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Country of batallion not specified,483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36525,KobÃ©,151605
Map no. 4349 ,MINURCAT,2008,12,Koukou Angaraha,Chad,12.016667,21.683333,150,NA,NA,0,0,0,0,unknown,unknown,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Country of company not specified,483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36461,Sila,147284
Map no. 4349 ,MINURCAT,2008,12,N'Djamena,Chad,12.108502,15.048173,300,NA,NA,0,0,0,0,unknown,unknown,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,other troop types:  'FHQ - Support' (company) and LOG (company) - countries not specified,483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388,Ville de N'Djamena,36498,N'Djamena,147271
Map no. 4349 Rev. 01,MINURCAT,2009,4,Birao,Central African Republic,10.284879,22.788184,650,NA,NA,0,0,0,0,1,France,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,482,482,Central African Republic,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,Vakaga,36176,Birao,144406
Map no. 4349 Rev. 01,MINURCAT,2009,4,Abeche,Chad,13.816667,20.816667,2100,NA,NA,0,0,0,0,3,France,1375,Russia,650,Austria,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"transport company has TCC ""France and Austria"", the no of troops are split equally between the two; troop type other: LOG battalion",483,483,Chad,220,365,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36434,Ouara,149442
Map no. 4349 Rev. 01,MINURCAT,2009,4,Farchana,Chad,13.59744,21.81167,650,NA,NA,0,0,0,0,2,France,325,Ghana,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""France and Ghana"", the number of troops is split equally between the two",483,483,Chad,220,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36427,Assoungha,149444
Map no. 4349 Rev. 01,MINURCAT,2009,4,Goz Beida,Chad,12.216667,21.4166667,650,NA,NA,0,0,0,0,2,Ireland,325,Finland,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Ireland and Finland"", the number of troops is split equally between the two",483,483,Chad,205,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36463,Sila,147283
Map no. 4349 Rev. 01,MINURCAT,2009,4,Iriba,Chad,15.116667,22.25,650,NA,NA,0,0,0,0,2,Poland,325,Croatia,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Poland and Croatia"", the number of troops is split equally between the two",483,483,Chad,290,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36525,KobÃ©,151605
Map no. 4349 Rev. 01,MINURCAT,2009,4,N'Djamena,Chad,12.108502,15.048173,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"HQ and albanian HQ-company only, according to codebook not counted as troop deployment",483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388,Ville de N'Djamena,36498,N'Djamena,147271
Map no. 4349 Rev. 02,MINURCAT,2009,7,Birao,Central African Republic,10.284879,22.788184,150,NA,NA,0,0,0,0,1,Togo,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,482,482,Central African Republic,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,Vakaga,36176,Birao,144406
Map no. 4349 Rev. 02,MINURCAT,2009,7,Abeche,Chad,13.816667,20.816667,1250,NA,NA,0,0,0,0,4,France,875,Russia,150,Austria,75,Norway,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"transport company has TCC ""France and Austria"", the no of troops are split equally between the two; troop type other: LOG battalion",483,483,Chad,220,365,305,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36434,Ouara,149442
Map no. 4349 Rev. 02,MINURCAT,2009,7,Farchana,Chad,13.59744,21.81167,650,NA,NA,0,0,0,0,1,Ghana,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36427,Assoungha,149444
Map no. 4349 Rev. 02,MINURCAT,2009,7,Goz Beida,Chad,12.216667,21.4166667,650,NA,NA,0,0,0,0,2,Ireland,325,Finland,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Ireland and Finland"", the number of troops is split equally between the two",483,483,Chad,205,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36463,Sila,147283
Map no. 4349 Rev. 02,MINURCAT,2009,7,Iriba,Chad,15.116667,22.25,650,NA,NA,0,0,0,0,2,Poland,325,Croatia,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Poland and Croatia"", the number of troops is split equally between the two",483,483,Chad,290,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36525,KobÃ©,151605
Map no. 4349 Rev. 02,MINURCAT,2009,7,N'Djamena,Chad,12.108502,15.048173,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"HQ and albanian HQ-company only, according to codebook not counted as troop deployment",483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388,Ville de N'Djamena,36498,N'Djamena,147271
Map no. 4349 Rev. 03,MINURCAT,2009,10,Birao,Central African Republic,10.284879,22.788184,150,NA,NA,0,0,0,0,2,Togo,75,France,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf company TCC is given as ""Togo and France"", number of troops split equally between the two",482,482,Central African Republic,461,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,Vakaga,36176,Birao,144406
Map no. 4349 Rev. 03,MINURCAT,2009,10,Abeche,Chad,13.816667,20.816667,1935,NA,NA,0,0,0,0,5,France,875,Russia,150,Austria,75,Norway,150,Nepal,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"transport company has TCC ""France and Austria"", the no of troops are split equally between the two; troop type other: LOG battalion",483,483,Chad,220,365,305,385,790,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36434,Ouara,149442
Map no. 4349 Rev. 03,MINURCAT,2009,10,Farchana,Chad,13.59744,21.81167,650,NA,NA,0,0,0,0,1,Ghana,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36427,Assoungha,149444
Map no. 4349 Rev. 03,MINURCAT,2009,10,Goz Beida,Chad,12.216667,21.4166667,650,NA,NA,0,0,0,0,2,Ireland,325,Finland,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Ireland and Finland"", the number of troops is split equally between the two",483,483,Chad,205,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36463,Sila,147283
Map no. 4349 Rev. 03,MINURCAT,2009,10,Iriba,Chad,15.116667,22.25,650,NA,NA,0,0,0,0,2,Poland,325,Croatia,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Poland and Croatia"", the number of troops is split equally between the two",483,483,Chad,290,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36525,KobÃ©,151605
Map no. 4349 Rev. 03,MINURCAT,2009,10,N'Djamena,Chad,12.108502,15.048173,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"HQ and albanian HQ-company only, according to codebook not counted as troop deployment",483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388,Ville de N'Djamena,36498,N'Djamena,147271
Map no. 4349 Rev. 04,MINURCAT,2010,1,Birao,Central African Republic,10.284879,22.788184,150,NA,NA,0,0,0,0,2,Togo,75,France,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf company TCC is given as ""Togo and France"", number of troops split equally between the two",482,482,Central African Republic,461,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,Vakaga,36176,Birao,144406
Map no. 4349 Rev. 04,MINURCAT,2010,1,Abeche,Chad,13.816667,20.816667,950,NA,NA,0,0,0,0,3,Nepal,650,Russia,150,Norway,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,,483,483,Chad,790,365,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36434,Ouara,149442
Map no. 4349 Rev. 04,MINURCAT,2010,1,Bahai,Chad,15.55,22.91,150,NA,NA,0,0,0,0,1,Mongolia,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36523,KobÃ©,152326
Map no. 4349 Rev. 04,MINURCAT,2010,1,Farchana,Chad,13.59744,21.81167,650,NA,NA,0,0,0,0,1,Ghana,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36427,Assoungha,149444
Map no. 4349 Rev. 04,MINURCAT,2010,1,Goz Beida,Chad,12.216667,21.4166667,650,NA,NA,0,0,0,0,2,Ireland,325,Finland,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Finland and Ireland"", the number of troops is split equally between the two",483,483,Chad,205,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36463,Sila,147283
Map no. 4349 Rev. 04,MINURCAT,2010,1,Guereda,Chad,14.516667,22.083333,150,NA,NA,0,0,0,0,1,Ghana,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36515,Dar Tama,150885
Map no. 4349 Rev. 04,MINURCAT,2010,1,Iriba,Chad,15.116667,22.25,650,NA,NA,0,0,0,0,1,Mongolia,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36525,KobÃ©,151605
Map no. 4349 Rev. 04,MINURCAT,2010,1,Koukou Angaraha,Chad,12.016667,21.683333,150,NA,NA,0,0,0,0,2,Finland,75,Ireland,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf company TCC is given as ""Finland and Ireland"", number of troops split equally",483,483,Chad,375,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36461,Sila,147284
Map no. 4349 Rev. 04,MINURCAT,2010,1,N'Djamena,Chad,12.108502,15.048173,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"HQ and albanian HQ-company only, according to codebook not counted as troop deployment",483,483,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388,Ville de N'Djamena,36498,N'Djamena,147271
Map no. 4349 Rev. 05,MINURCAT,2010,4,Birao,Central African Republic,10.284879,22.788184,150,NA,NA,0,0,0,0,1,Togo,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,482,482,Central African Republic,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,Vakaga,36176,Birao,144406
Map no. 4349 Rev. 05,MINURCAT,2010,4,Abeche,Chad,13.816667,20.816667,950,NA,NA,0,0,0,0,3,Nepal,650,Russia,150,Norway,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,,483,483,Chad,790,365,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36434,Ouara,149442
Map no. 4349 Rev. 05,MINURCAT,2010,4,Bahai,Chad,15.55,22.91,150,NA,NA,0,0,0,0,1,Mongolia,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36523,KobÃ©,152326
Map no. 4349 Rev. 05,MINURCAT,2010,4,Farchana,Chad,13.59744,21.81167,650,NA,NA,0,0,0,0,1,Ghana,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,OuaddaÃ¯,36427,Assoungha,149444
Map no. 4349 Rev. 05,MINURCAT,2010,4,Goz Beida,Chad,12.216667,21.4166667,650,NA,NA,0,0,0,0,2,Ireland,325,Finland,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf battalion TCC is given as ""Finland and Ireland"", the number of troops is split equally between the two",483,483,Chad,205,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36463,Sila,147283
Map no. 4349 Rev. 05,MINURCAT,2010,4,Guereda,Chad,14.516667,22.083333,150,NA,NA,0,0,0,0,1,Ghana,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36515,Dar Tama,150885
Map no. 4349 Rev. 05,MINURCAT,2010,4,Iriba,Chad,15.116667,22.25,650,NA,NA,0,0,0,0,1,Mongolia,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,483,483,Chad,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,Wadi Fira,36525,KobÃ©,151605
Map no. 4349 Rev. 05,MINURCAT,2010,4,Koukou Angaraha,Chad,12.016667,21.683333,150,NA,NA,0,0,0,0,2,Finland,75,Ireland,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"inf company TCC is given as ""Finland and Ireland"", number of troops split equally",483,483,Chad,375,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7041,Sila,36461,Sila,147284
